Ticker,Industry,Sub-Industry,Security Type,Within Range,PE Backed,VC Backed,Sh Out,Mkt Cap,EV,3m ADV ,3m ADV $ ,6m ADV ,6m ADV $,Beta,SI,SI Days,Net Leverage,Net Leverage %,Days until Earnings, EV/Sales 2019 , EV/Sales 2020 , EV/Sales 2021 , EV/Sales 2022 ,Revenue Growth 19-20 ,Revenue Growth 20-21 ,Revenue Growth 21-22 , EV/EBITDA 2019 , EV/EBITDA 2020 , EV/EBITDA 2021 , EV/EBITDA 2022 ,EBITDA Growth 19-20 ,EBITDA Growth 20-21 ,EBITDA Growth 21-22 ,EBITDA MARGIN % 2019,EBITDA MARGIN % 2020,EBITDA MARGIN % 2021,EBITDA MARGIN % 2022, P/E 2019 , P/E 2020 , P/E 2021 , P/E 2022 ,Deal Size,Market Cap At IPO,IPO to First Open,IPO to First Day,IPO to 1st Week,IPO to 1st Month,performance
PLAN,Information Technology,Application Software,Common,Higher End,No,Yes, 134.40 ," 5,864.81 "," 5,610.43 ", 3.54 , 151.44 ,2.92, 125.16 , 1.38 , 0.11 , 5.10 , 7.45 , (0.05), 13.00 , 16.58 , 12.73 , 9.97 , 7.72 , 0.30 , 0.28 , 0.29 , (164.36), (166.72)," 3,447.97 ", 211.96 , (0.01), (1.05), 15.27 , (0.10), (0.08), 0.00 , 0.04 , (95.16), (99.04), (139.33)," 5,839.09 ", 303.00 ," 2,108.71 ", 0.43 , 0.43 , 0.44 , 0.34 ,-0.17576413041063432
SIBN,Health Care,Health Care Supplies,Common,Higher End,Yes,Yes, 27.30 , 440.90 , 388.35 , 0.27 , 4.14 ,0.22, 3.44 , 0.87 , 0.02 , 1.80 , 1.81 , (0.16), 85.00 , 4.98 , 5.19 , 3.53 , 2.92 , (0.04), 0.47 , 0.21 , (11.54), (8.09), (12.26), (26.12), 0.43 , (0.34), (0.53), (0.43), (0.64), (0.29), (0.11), (10.01), (8.51), (12.42), (21.94), 124.20 , 343.10 , 0.40 , 0.34 , 0.24 , 0.18 ,-0.061366266997903825
MSC,Consumer Discretionary,Casinos & Gaming,ADR,Higher End,No,No, 241.80 ," 1,296.61 "," 2,446.05 ", 0.00 , 0.01 ,0.0, 0.03 ,    ,, 1.50 , 3.18 , 0.47 , 8.00 , 3.90 , 6.66 , 4.48 , 4.23 , (0.41), 0.49 , 0.06 , 6.78 , 17.15 , 8.93 , 7.69 , (0.61), 0.92 , 0.16 , 0.58 , 0.39 , 0.50 , 0.55 , 22.24 , (7.50), (45.83), 71.74 , 413.30 ,  -  , 0.32 , 0.24 , 0.36 , 0.38 ,-0.005020677940638652
PHAS,Health Care,Biotechnology,Common,Below,No,Yes, 28.80 , 126.20 , 68.66 , 0.28 , 1.22 ,0.42, 1.84 , 1.36 , 0.17 , 13.40 ,    , (0.69), 92.00 , 46.60 , 80.64 , 48.76 , 46.57 , (0.42), 0.65 , 0.05 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (3.07), (2.07), (1.77), (1.55), 49.30 , 119.02 , -   , -   , -   , (0.37),0.3690444454127155
OSMT,Health Care,Pharmaceuticals,Common,Lower End,No,No, 58.30 , 276.82 , 454.26 , 0.19 , 0.89 ,0.28, 1.31 , 0.95 , 0.12 , 15.50 , 2.58 , 0.42 , 86.00 , 1.77 , 2.45 , 2.19 , 1.66 , (0.28), 0.12 , 0.32 , 6.16 , 81.65 , (424.02), 9.69 , (0.93), (1.19), (44.78), 0.29 , 0.03 , (0.01), 0.17 , (5.48), (8.29), (9.83), 26.40 , 53.50 , 365.08 , 0.29 , 0.16 , 0.29 , 0.08 ,-0.0371845865147159
NIU,Consumer Discretionary,Motorcycle Manufacturers,ADR,Lower End,Yes,No, 153.80 , 682.44 , 628.87 , 0.17 , 1.55 ,0.18, 1.68 , 0.80 ,, 3.90 , (0.29), (0.09), 5.00 , 0.30 , 0.26 , 0.18 , 0.12 , 0.17 , 0.46 , 0.49 , 3.42 , 2.43 , 1.18 , 0.84 , 0.40 , 1.06 , 0.41 , 0.09 , 0.11 , 0.15 , 0.14 , 7.36 , 3.67 , 1.08 , 1.18 , 63.00 , 74.70 , (0.06), (0.04), (0.17), (0.15),-0.049931798325727805
LOGC,Health Care,Biotechnology,Common,Below,No,No, 23.20 , 153.23 , 112.89 , 0.07 , 0.45 ,0.08, 0.50 , 1.67 , 0.03 , 4.80 ,    , (0.34), 92.00 ,  NA  , 117.78 ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (3.70), (3.58), (3.32), (2.37), 80.50 , 229.88 , 0.07 , 0.15 , (0.14), 0.40 ,0.18706392692127505
SWI,Information Technology,Systems Software,Common,Lower End,Yes,No, 312.90 ," 5,235.36 "," 7,068.38 ", 0.91 , 15.24 ,0.7, 11.79 , 1.00 , 0.09 , 6.50 , 4.10 , 0.25 , 79.00 , 7.81 , 7.22 , 6.56 , 5.91 , 0.08 , 0.10 , 0.11 , 16.39 , 15.63 , 13.99 , 12.23 , 0.05 , 0.12 , 0.14 , 0.48 , 0.46 , 0.47 , 0.48 , 20.23 , 19.37 , 17.31 , 15.35 , 375.00 ," 4,649.13 ", 0.02 , 0.00 , (0.05), (0.02),0.020220952465843656
PT,Financials,Consumer Finance,ADR,Mid-point,No,No, 302.50 , 55.62 , 123.08 , 0.18 , 0.22 ,0.58, 0.71 , 0.84 ,, 2.60 ,    , 0.55 , 19.00 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , 50.00 , 50.89 , 0.21 , 0.05 , (0.01), - ,0.10327088863091638
STNE,Information Technology,Data Processing & Outsourced S,Class A,Above,No,No, 254.90 ," 6,140.01 "," 6,846.98 ", 3.64 , 80.57 ,2.83, 62.71 , 1.68 , 0.11 , 4.20 , 0.51 , 0.10 , -   , 3.33 , 2.59 , 1.85 , 1.38 , 0.28 , 0.40 , 0.33 , 4.97 , 4.61 , 3.12 , 2.20 , 0.08 , 0.48 , 0.42 , 0.67 , 0.56 , 0.59 , 0.63 , 6.41 , 7.46 , 4.86 , 3.50 ," 1,400.00 ",  -  , 0.33 , 0.31 , 0.23 , (0.09),-0.13383692697825697
GMDA,Health Care,Biotechnology,Common,Below,Yes,Yes, 32.90 , 221.89 , 180.05 , 0.08 , 0.55 ,0.06, 0.38 , 0.41 , 0.00 , 1.30 ,    , (0.23), 8.00 ,  NA  , 51.44 , 3.41 , 1.71 , NA , 14.07 , 1.00 ,  NA  , (3.29), (3.44), (22.79), NA , (0.04), (0.85), NA , (15.63), (0.99), (0.08), (5.63), (3.97), (4.63), (22.19), 53.20 , 151.08 , 0.04 , 0.06 , 0.29 , 0.68 ,0.6105941184474764
TWST,Health Care,Biotechnology,Common,Lower End,Yes,Yes, 37.20 ," 1,631.36 "," 1,500.99 ", 0.59 , 23.57 ,0.5, 19.79 , 1.02 , 0.15 , 12.40 , 1.46 , (0.09), 79.00 , 23.99 , 18.07 , 12.00 , 9.18 , 0.33 , 0.51 , 0.31 , (16.10), (15.03), (21.53), (22.05), 0.07 , (0.30), (0.02), (1.49), (1.20), (0.56), (0.42), (10.06), (13.37), (21.97), (22.24), 80.50 , 383.04 , (0.07), -   , 0.15 , 0.89 ,-0.06201120369540125
AXNX,Health Care,Health Care Equipment,Common,Mid-point,No,Yes, 33.60 ," 1,411.11 "," 1,252.83 ", 0.72 , 26.08 ,0.73, 26.38 , 1.02 , 0.19 , 8.40 , 1.99 , (0.12), 84.00 , 92.41 , 15.61 , 8.50 , 5.91 , 4.92 , 0.84 , 0.44 , (16.08), (19.74), (36.20), (286.87), (0.19), (0.46), (0.87), (5.75), (0.79), (0.24), (0.02), (12.89), (17.91), (31.93), (152.24), 138.00 , 417.58 , 0.07 , (0.00), 0.04 , (0.12),0.0851086173614577
ORTX,Health Care,Biotechnology,ADR,Lower End,Yes,No, 98.70 ," 1,000.36 ", 721.28 , 0.38 , 3.92 ,0.35, 3.58 , 0.60 ,, 3.10 , 2.09 , (0.36), 86.00 , 312.37 , 320.14 , 27.04 , 16.84 , (0.02), 10.84 , 0.61 , (5.87), (3.73), (3.45), (3.55), 0.58 , 0.08 , (0.03), (53.18), (85.92), (7.84), (4.74), (5.88), (5.56), (5.85), (7.15), 225.50 ," 1,188.78 ", 0.21 , -   , 0.04 , 0.08 ,0.02346235042235234
CNF,Financials,Thrifts & Mortgage Finance,ADR,Lower End,Yes,No, 68.50 , 282.56 ," 1,123.48 ", 0.02 , 0.10 ,0.02, 0.07 , 0.15 ,, 0.90 ,    , 0.75 , 9.00 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , 53.00 ," 10,207.40 ", 0.02 , 0.01 , -   , (0.22),0.10305222559953564
ETON,Health Care,Pharmaceuticals,Common,Lower End,No,No, 17.90 , 110.78 , 103.41 , 0.09 , 0.45 ,0.07, 0.39 , 0.97 , 0.03 , 8.30 , 0.38 , (0.07), 1.00 , 107.83 , 7.21 , 2.40 , 1.42 , 13.95 , 2.01 , 0.68 , (5.33), (7.75), (11.02), 17.18 , (0.31), (0.30), (1.64), (20.23), (0.93), (0.22), 0.08 , (5.14), (8.79), 160.61 , 25.24 , 24.80 , 101.15 , 0.07 , 0.04 , 0.00 , 0.00 ,0.2304856275350449
VAPO,Health Care,Health Care Equipment,Common,Lower End,Yes,Yes, 20.90 , 683.74 , 657.36 , 0.60 , 16.73 ,0.38, 10.54 , (0.17), 0.05 , 1.70 , 0.64 , (0.04), 77.00 , 13.92 , 6.92 , 6.99 , 8.04 , 1.01 , (0.01), (0.13), (16.23), (17.81), (18.08), (18.81), (0.09), (0.02), (0.04), (0.86), (0.39), (0.39), (0.43), (10.02), (12.73), (13.70), (16.74), 64.40 , 241.46 , 0.11 , 0.14 , 0.15 , 0.30 ,0.6123155397993512
WEI,Financials,Consumer Finance,ADR,Mid-point,No,No, 70.50 , 100.04 , (151.96), 0.06 , 0.09 ,0.06, 0.08 , 0.62 ,, 0.40 ,    ,, 22.00 , (0.02), (0.04), (0.05),  NA  , (0.46), (0.18), NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , 0.21 , 0.81 , 0.45 ,  NA  , 49.60 , 704.47 , 0.05 , 0.03 , 0.00 , 0.01 ,0.25632601762508656
TC,Communication Services,Advertising,ADR,Mid-point,No,No, 294.10 , 97.56 , 357.06 , 0.01 , 0.01 ,0.02, 0.03 , 0.33 ,, 5.30 , -   , -   , 5.00 , 0.09 , 0.18 , 0.07 ,  NA  , (0.50), 1.48 , NA , (0.40), (0.46), 2.18 ,  NA  , (0.15), (1.21), NA , (0.22), (0.38), 0.03 , NA , (0.81),  NA  ,  NA  ,  NA  , 20.30 , 20.28 , (0.04), 0.00 , (0.14), (0.12),0.5133988326886834
MOGU,Consumer Discretionary,Internet & Direct Marketing Re,ADR,Lower End,Yes,Yes," 2,729.40 ", 116.13 , (105.67), 0.06 , 0.06 ,0.06, 0.06 , 0.72 ,, 0.30 , 0.78 ,, 16.00 , (0.06), (0.06), (0.05),  NA  , (0.01), 0.21 , NA , 0.19 , 0.53 , 3.93 ,  NA  , (0.63), (0.87), NA , (0.32), (0.12), (0.01), NA , (0.42), (0.74)," (39,109,259,164,085,400.00)",  NA  , 66.50 ,  -  , (0.14), -   , 0.18 , 0.51 ,-0.010712962377336209
MRNA,Health Care,Biotechnology,Common,Mid-point,Yes,No, 353.10 ," 24,240.92 "," 23,273.87 ", 18.49 ," 1,207.41 ",10.7, 698.36 , (0.16), 0.09 , 1.20 , 1.95 , (0.04), 86.00 , 384.91 , 262.48 , 20.84 , 9.06 , 0.47 , 11.60 , 1.30 , (46.78), (42.66), 77.19 , 16.50 , 0.10 , (1.55), 3.68 , (8.23), (6.15), 0.27 , 0.55 , (42.02), (44.00), (110.87), 41.25 , 604.30 ," 7,461.45 ", (0.04), (0.19), (0.20), (0.29),-0.1624086817922048
TME,Communication Services,Movies & Entertainment,ADR,Lower End,Yes,No," 3,350.90 "," 19,979.42 "," 17,791.55 ", 8.18 , 97.39 ,7.85, 93.53 , 0.40 ,, 5.50 , (0.48), (0.12), 91.00 , 0.72 , 0.61 , 0.49 , 0.40 , 0.17 , 0.25 , 0.21 , 4.02 , 3.95 , 2.78 , 2.10 , 0.02 , 0.42 , 0.32 , 0.18 , 0.16 , 0.18 , 0.19 , 4.06 , 4.45 , 3.41 , 2.64 ," 1,066.00 ",  -  , 0.09 , 0.08 , (0.06), (0.01),0.05843975874112939
LEGH,Consumer Discretionary,Homebuilding,Common,Mid-point,No,No, 24.50 , 232.02 , 261.16 , 0.04 , 0.39 ,0.04, 0.35 , 0.83 , 0.03 , 5.70 , 0.76 , 0.11 , -   , 1.55 , 1.66 , 1.72 ,  NA  , (0.07), (0.04), NA , 6.85 , 7.16 , 7.25 ,  NA  , (0.04), (0.01), NA , 0.23 , 0.23 , 0.24 , NA , 7.94 , 8.64 , 8.84 ,  NA  , 55.20 , 295.20 , 0.01 , 0.00 , (0.04), 0.04 ,-0.17237872736212811
QFIN,Financials,Consumer Finance,ADR,Lower End,No,No, 299.70 ," 1,395.22 "," 1,121.38 ", 0.64 , 6.09 ,0.73, 6.95 , 0.68 ,, 1.80 ,    , (0.24), 7.00 , 0.93 , 0.86 , 0.75 , 0.71 , 0.08 , 0.14 , 0.06 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , 7.90 , 3.70 , 2.74 , 2.60 , 51.20 ,  -  , 0.02 , -   , (0.01), (0.39),0.11297748671719
ANDAU,,,Units,Lower End,No,No, 3.60 , 143.81 , 143.46 , -   , -   ,0.0, 0.02 ,    , -   , 3.60 ,    , -   , 92.00 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , 108.00 , 136.75 , -   , -   , 0.01 , 0.01 ,-0.003847190514088883
NFE,Energy,Oil & Gas Refining & Marketing,Class A,Below,No,No, 26.00 ," 2,146.01 "," 3,040.49 ", 0.10 , 1.30 ,0.1, 1.26 , 0.90 , 0.08 , 21.30 , (4.65), 0.19 , 91.00 , 16.90 , 5.48 , 2.61 , 1.81 , 2.09 , 1.10 , 0.44 , (25.08), 81.85 , 10.52 , 5.64 , (1.31), 6.78 , 0.87 , (0.67), 0.07 , 0.25 , 0.32 , (8.96), (40.93), 17.95 , 8.02 , 291.70 ,  -  , (0.05), (0.07), 0.00 , 0.14 ,0.06375711039113119
ALEC,Health Care,Biotechnology,Common,Mid-point,No,Yes, 74.80 ," 2,286.71 "," 2,192.73 ", 0.51 , 14.62 ,0.54, 15.76 , 1.31 , 0.10 , 15.10 , 2.82 , (0.14), -   , 103.34 , 66.73 , 56.75 , 54.32 , 0.55 , 0.18 , 0.05 , (20.30), (15.78), (13.08), (12.49), 0.29 , 0.21 , 0.05 , (5.09), (4.23), (4.34), (4.35), (16.93), (15.48), (18.16), (13.34), 185.10 ," 1,308.24 ", (0.02), (0.05), (0.01), (0.07),-0.05112946757544401
GOSS,Health Care,Biotechnology,Common,Lower End,Yes,Yes, 61.90 ," 1,021.26 ", 658.98 , 0.41 , 6.33 ,0.5, 7.63 , 0.81 , 0.11 , 16.50 , 2.01 , (0.51), 86.00 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , (3.97), (2.78), (2.50),  NA  , 0.43 , 0.11 , NA , NA , NA , NA , NA , (4.75), (4.35), (4.58), (4.09), 317.40 ," 1,053.83 ", 0.19 , 0.12 , 0.21 , 0.23 ,-0.23416967380650944
HARP,Health Care,Biotechnology,Common,Mid-point,No,Yes, 24.80 , 339.97 , 199.79 , 0.08 , 1.06 ,0.11, 1.52 , 1.01 , 0.02 , 3.90 , 2.62 , (0.65), 84.00 , 37.46 , 10.07 , 8.07 , 9.70 , 2.72 , 0.25 , (0.17), (4.04), (5.64), (4.67), (2.94), (0.28), 0.21 , 0.59 , (9.28), (1.79), (1.73), (3.30), (5.33), (7.04), (6.97), (6.64), 80.80 , 339.90 , -   , (0.04), 0.06 , (0.06),-0.06549399979342241
TCRR,Health Care,Biotechnology,Common,Mid-point,No,Yes, 24.40 , 243.65 , 85.52 , 0.08 , 0.85 ,0.09, 0.91 , 1.01 , 0.08 , 11.90 ,    , (1.85), -   ,  NA  ,  NA  ,  NA  , 8.51 , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (2.19), (3.97), (3.32), (3.02), 86.30 , 359.10 , 0.01 , 0.01 , 0.01 , 0.22 ,-0.051280976652363086
MITO,Health Care,Biotechnology,ADR,Lower End,No,No, 436.70 , 70.60 , 36.08 , 0.64 , 1.24 ,0.41, 0.79 , 0.82 ,, 0.70 , 0.75 , (0.96), 93.00 , 1.71 , 55.50 , 1.37 , 0.77 , (0.97), 39.65 , 0.78 , (0.79),  NA  ,  NA  ,  NA  , NA , NA , NA , (2.17), NA , NA , NA , (13.55), (17.17), (31.29), (43.11), 85.10 ,  -  , 0.01 , (0.01), (0.01), 0.23 ,-0.2819222479872263
SLGG,Communication Services,Interactive Media & Services,Common,Mid-point,No,No, 8.60 , 41.15 , 32.71 , 0.19 , 0.93 ,0.15, 0.73 , 0.25 , 0.05 , 2.80 , 0.67 , (0.26), 1.00 , 30.18 , 11.63 , 4.20 , 1.97 , 1.60 , 1.77 , 1.13 , (2.59), (3.00), (2.88), (2.95), (0.14), 0.04 , (0.02), (11.67), (3.88), (1.46), (0.67), (1.24), (3.12), (3.34), (5.65), 25.00 , 91.72 , -   , (0.23), (0.16), (0.34),0.4374596272686111
KLDO,Health Care,Pharmaceuticals,Common,Below,No,Yes, 30.30 , 214.04 , 163.19 , 0.12 , 0.84 ,0.15, 1.06 , 0.81 , 0.24 , 22.50 , 0.75 , (0.31), 1.00 , 5.93 , 4.66 , 32.64 , 5.48 , 0.27 , (0.86), 4.96 , (2.40), (2.72), (1.32), (1.06), (0.12), 1.06 , 0.25 , (2.47), (1.71), (24.73), (5.17), (2.09), (3.48), (2.72), (2.43), 75.00 , 444.49 , (0.15), (0.05), (0.15), (0.07),-0.06404885481044964
HCACU,,,Units,Lower End,No,No, 37.50 , 386.44 , 385.32 , 0.01 , 0.11 ,0.01, 0.07 ,    , -   , 0.60 ,    , -   , 86.00 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , 300.20 ,  -  , -   , 0.00 , 0.00 , 0.01 ,-0.01282134029716453
SWAV,Health Care,Health Care Equipment,Common,Above,No,Yes, 31.60 ," 1,285.64 "," 1,113.01 ", 0.52 , 20.78 ,0.52, 21.00 , 1.25 , 0.18 , 13.10 , 3.57 , (0.16), 84.00 , 25.93 , 19.32 , 9.87 , 6.63 , 0.34 , 0.96 , 0.49 , (23.00), (15.27), (30.12), (271.47), 0.51 , (0.49), (0.89), (1.13), (1.27), (0.33), (0.02), (18.86), (17.00), (25.31), (132.30), 111.40 , 471.95 , 0.46 , 0.79 , 0.77 , 0.77 ,-0.19240587684906008
FUTU,Financials,Investment Banking & Brokerage,ADR,Higher End,Yes,Yes, 125.90 ," 1,390.26 "," 1,553.48 ", 0.18 , 2.30 ,0.16, 2.00 , 0.67 ,, 3.30 ,    , 0.11 , 1.00 , 1.83 , 1.12 , 0.75 , 0.52 , 0.63 , 0.49 , 0.46 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , 10.02 , 5.44 , 3.01 , 1.48 , 90.00 ,  -  , 0.23 , 0.28 , 0.50 , 0.40 ,0.06624014835016513
TIGR,Financials,Investment Banking & Brokerage,ADR,Above,No,No," 2,114.70 ", 407.08 , 411.72 , 0.35 , 1.01 ,0.4, 1.16 , 0.69 ,, 0.40 ,    , -   , 5.00 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , (843.99), 32.08 , 16.04 , 11.11 , 119.60 , 119.60 , 0.01 , 0.37 , 0.61 , 0.94 ,0.11115391466644464
LEVI,Consumer Discretionary,"Apparel, Accessories & Luxury",Class A,Above,No,No, 410.10 ," 4,760.27 "," 4,767.69 ", 1.60 , 19.24 ,1.35, 16.18 , 1.16 , 0.13 , 4.60 , -   , -   , 57.00 , 1.03 , 1.21 , 1.07 ,  NA  , (0.15), 0.14 , NA , 8.31 , 11.76 , 9.62 ,  NA  , (0.29), 0.22 , NA , 0.13 , 0.10 , 0.11 , NA , 11.42 , 33.94 , 14.74 ,  NA  , 716.80 ,  -  , 0.31 , 0.32 , 0.34 , 0.40 ,-0.09790616538898522
PUYI,Financials,Asset Management & Custody Ban,ADR,Lower End,No,No, 85.00 , 363.73 , 309.94 , 0.02 , 0.09 ,0.02, 0.10 , 0.42 ,, 13.00 ,    , (0.17), NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , 25.80 , 25.75 , 0.08 , 0.13 , 0.08 , 0.01 ,-0.06531404607121605
DTIL,Health Care,Biotechnology,Common,Mid-point,No,Yes, 51.30 , 367.87 , 186.99 , 0.45 , 3.25 ,0.83, 5.95 , 1.49 , 0.05 , 5.30 , 1.94 , (0.97), 2.00 , 8.41 , 8.96 , 3.98 , 5.57 , (0.06), 1.25 , (0.29), (2.00), (1.53), (1.06), (0.95), 0.31 , 0.44 , 0.12 , (4.20), (5.84), (3.74), (5.85), (3.24), (3.20), (3.27), (3.06), 145.40 , 803.45 , 0.13 , 0.09 , (0.05), (0.21),-0.046656182092013936
RUHN,Consumer Discretionary,Internet & Direct Marketing Re,ADR,Mid-point,No,No, 318.50 , 252.28 , 238.69 , 0.17 , 0.53 ,0.33, 1.01 , 0.16 ,, 1.90 ,    ,, NA ,  NA  , 0.09 , 0.07 ,  NA  , NA , 0.29 , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA ,  NA  , (12.08), 4.42 ,  NA  , 125.00 ,  -  , (0.08), (0.37), (0.48), (0.46),-0.1114677779777773
SILK,Health Care,Health Care Supplies,Common,Higher End,Yes,Yes, 31.30 ," 1,132.05 "," 1,090.70 ", 0.48 , 16.31 ,0.4, 13.79 , 1.19 , 0.08 , 8.10 , 1.49 , (0.04), 93.00 , 17.04 , 15.75 , 9.25 , 7.08 , 0.08 , 0.70 , 0.31 , (39.01), (31.53), (71.96), 81.77 , 0.24 , (0.56), (1.88), (0.44), (0.50), (0.13), 0.09 , (14.96), (25.95), (52.90), (252.74), 138.00 , 622.16 , 0.66 , 0.81 , 0.83 , 0.91 ,-0.14222940774614112
TW,Financials,Financial Exchanges & Data,Class A,Above,No,No, 174.50 ," 13,830.18 "," 14,623.09 ", 1.06 , 64.87 ,0.84, 51.35 , 0.70 , 0.01 , 0.40 , (1.19), (0.03), 85.00 , 18.86 , 16.56 , 15.48 , 14.44 , 0.14 , 0.07 , 0.07 , 41.41 , 34.59 , 31.69 , 29.04 , 0.20 , 0.09 , 0.09 , 0.46 , 0.48 , 0.49 , 0.50 , 79.67 , 48.80 , 45.21 , 42.42 ," 1,242.00 ",  -  , 0.27 , 0.33 , 0.56 , 0.45 ,-0.03681416730840481
NGM,Health Care,Pharmaceuticals,Common,Higher End,Yes,No, 66.50 ," 1,486.03 "," 1,141.52 ", 0.43 , 9.48 ,0.35, 7.61 , 0.82 , 0.20 , 16.30 , 8.83 , (0.30), 2.00 , 11.02 , 12.57 , 12.81 , 13.21 , (0.12), (0.02), (0.03), (29.27), (24.60), (9.06), (7.27), 0.19 , 1.72 , 0.25 , (0.38), (0.51), (1.41), (1.82), (25.80), (18.08), (14.31), (13.36), 120.30 ," 1,053.57 ", (0.06), (0.08), -   , (0.01),-0.14266021173199273
PD,Information Technology,Application Software,Common,Above,No,Yes, 77.20 ," 1,952.79 "," 1,601.39 ", 1.33 , 33.13 ,1.14, 28.33 , 0.97 , 0.06 , 3.20 ,    , (0.22), 22.00 ,  NA  , 7.90 , 6.43 , 5.62 , NA , 0.23 , 0.14 ,  NA  , (67.87), (141.10), 110.27 , NA , (0.52), (2.28), NA , (0.12), (0.05), 0.05 ,  NA  , (84.03), (101.36), (335.73), 250.30 ," 1,799.32 ", 0.53 , 0.59 , 0.63 , 1.16 ,0.010694084842477023
TUFN,Information Technology,Systems Software,Common,Higher End,Yes,Yes, 35.50 , 320.82 , 226.47 , 0.29 , 2.62 ,0.37, 3.34 , 0.76 , 0.02 , 1.10 , 3.65 , (0.42), 113.00 , 2.19 , 2.28 , 1.89 , 1.65 , (0.04), 0.21 , 0.15 , (8.77), (4.99), (5.40),  NA  , 0.76 , (0.08), NA , (0.25), (0.46), (0.35), NA , (14.31), (9.44), (13.19), (40.95), 124.00 , 470.27 , 0.29 , 0.36 , 0.57 , 0.58 ,0.13718190566249674
JMIA,Consumer Discretionary,Internet & Direct Marketing Re,ADR,Mid-point,No,No, 78.40 , 350.09 , 172.36 , 2.18 , 9.74 ,2.2, 9.81 , 1.47 ,, 6.40 , 0.97 , (1.03), -   , 1.07 , 1.01 , 0.80 , 0.63 , 0.07 , 0.26 , 0.27 , (0.94), (0.98), (1.09), (1.42), (0.04), (0.10), (0.23), (1.14), (1.03), (0.74), (0.45), (1.54), (1.75), (1.94), (2.39), 225.10 ," 1,136.92 ", 0.31 , 0.76 , 1.42 , 0.69 ,-0.12033215235138163
TPTX,Health Care,Biotechnology,Common,Higher End,No,No, 35.90 ," 2,002.47 "," 1,598.37 ", 0.31 , 17.25 ,0.43, 23.72 , 1.25 , 0.12 , 13.90 , 5.32 , (0.25), 85.00 ,  NA  ,  NA  ,  NA  , 27.96 , NA , NA , NA , (21.40), (13.67), (11.62), (27.57), 0.57 , 0.18 , (0.58), NA , NA , NA , (1.01), (18.64), (19.10), (13.71), (15.78), 191.50 , 558.76 , 0.35 , 0.61 , 0.57 , 0.90 ,-0.0605726112289906
PLMR,Financials,Property & Casualty Insurance,Common,Lower End,Yes,No, 24.80 ," 1,342.75 "," 1,309.63 ", 0.29 , 16.21 ,0.3, 16.68 , 1.13 , 0.06 , 3.60 ,    , (0.03), 91.00 , 12.62 , 8.61 , 6.86 , 5.73 , 0.47 , 0.25 , 0.20 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , 31.91 , 26.80 , 22.44 , 20.58 , 84.40 , 339.38 , 0.23 , 0.27 , 0.27 , 0.49 ,-0.013659941278297394
MNRL,Energy,Oil & Gas Exploration & Produc,Class A,Higher End,Yes,Yes, 24.40 , 715.56 , 664.42 , 0.55 , 6.90 ,0.53, 6.61 , 1.15 , 0.06 , 3.90 , (0.65), (0.08), -   , 6.55 , 8.24 , 6.70 , 5.49 , (0.21), 0.23 , 0.22 , 8.50 , 10.73 , 8.37 , 7.47 , (0.21), 0.28 , 0.12 , 0.77 , 0.77 , 0.80 , 0.73 , 9.95 , 94.59 , 32.34 , 18.69 , 300.20 ,  -  , 0.11 , 0.11 , 0.15 , 0.20 ,0.07443454271813454
